loan_id,customer_id,risk_state,remaining_months,within_term_default_prob
LN132302,ANON_4C109576B3,Low,1,0.0028890378348394
LN132531,ANON_67D7162DDB,Low,55,0.5639038291832629
LN132564,ANON_2021A9C3B7,Default,36,0.9397635763027908
LN132689,ANON_D377E28890,Low,190,0.5952339009814149
LN132791,ANON_9F37273362,Low,2,0.006286475436421475
LN132917,ANON_9CD4FBE0F4,Low,1,0.0028890378348394
LN133083,ANON_9780A2919D,Low,52,0.5435120106040596
LN133153,ANON_CBCC378555,Low,9,0.07415603394594919
LN133278,ANON_8D86442FAE,Low,12,0.11608902902343224
LN133282,ANON_551E557390,Medium,12,0.3026010809100447
LN133372,ANON_D0AEACC56A,Low,13,0.13039470531307032
LN133522,ANON_A6CE2D6F20,Low,45,0.49078166871151935
LN133660,ANON_76A6FB9CD3,Low,1,0.0028890378348394
LN134176,ANON_9CA140575A,Low,3,0.011273906495891599
LN134237,ANON_6A5459E8B1,Low,3,0.011273906495891599
LN134939,ANON_A8A0E7306B,Low,53,0.5504485073512786
LN134953,ANON_BE91A5867D,Low,1,0.0028890378348394
LN135140,ANON_F019E03AA4,Low,1,0.0028890378348394
LN135596,ANON_D870D2AA8F,Low,26,0.3032884825048455
LN136139,ANON_144C0C08F0,Low,30,0.34895518610460524
LN136169,ANON_F4DFB76E9B,Default,3,0.9921026897455488
LN136263,ANON_88788314A9,Low,3,0.011273906495891599
LN136720,ANON_45F3D790C1,Low,1,0.0028890378348394
LN137391,ANON_01A2444983,Default,1,0.9972478549457664
LN137615,ANON_F36E30BAC1,Low,1,0.0028890378348394
LN137689,ANON_BFA8576D8B,Default,30,0.9466710949361116
LN137892,ANON_03B3027638,Default,3,0.9921026897455488
LN137968,ANON_441F9FFB05,Default,14,0.9698945122522876
LN138041,ANON_6B5758A664,Default,3,0.9921026897455488
LN138718,ANON_39E60ABF88,Default,39,0.9366147499032963
LN138878,ANON_38250FF5A7,Default,3,0.9921026897455488
LN138930,ANON_276D074748,Medium,3,0.061530112323623994
LN139005,ANON_FC47841F44,Low,1,0.0028890378348394
LN139074,ANON_6B7A1B63E8,Low,1,0.0028890378348394
LN139266,ANON_DF6E0A7D85,Low,3,0.011273906495891599
LN139363,ANON_6E38183B18,Default,3,0.9921026897455488
LN139914,ANON_A2DA55AD6A,Low,3,0.011273906495891599
LN139997,ANON_3712351BFE,Low,22,0.25391277625406367
LN140236,ANON_3E4928AAC9,Low,3,0.011273906495891599
LN140558,ANON_D84D360449,Low,43,0.4742795392517041
LN140765,ANON_B9361B79B6,Low,1,0.0028890378348394
LN140903,ANON_88FD6E91F3,Low,12,0.11608902902343224
LN140968,ANON_82B59FFE24,Default,12,0.9734121430924614
LN140970,ANON_4EC18575B3,Default,1,0.9972478549457664
LN141219,ANON_17DCB4713A,Default,1,0.9972478549457664
LN141360,ANON_C39DBA1D4B,Low,3,0.011273906495891599
LN141406,ANON_273F223BDF,Default,43,0.9327054611633632
LN141458,ANON_6A7542A888,Low,12,0.11608902902343224
LN141599,ANON_FDE0EBA841,Low,1,0.0028890378348394
LN141654,ANON_B4A5220A53,Low,1,0.0028890378348394
LN141758,ANON_564636351A,Low,21,0.24098261875278704
LN141921,ANON_D9AEE01F5B,Default,2,0.9946150174416826
LN142101,ANON_5B6AEEB843,Default,2,0.9946150174416826
LN142279,ANON_3D847A7A3E,Low,39,0.43918511568806184
LN142714,ANON_925C460471,Medium,23,0.43355558064317223
LN142943,ANON_81345CC58E,Default,1,0.9972478549457664
LN143096,ANON_79FF81230C,Default,9,0.9790405121309872
LN143445,ANON_7C6BCE209D,Default,3,0.9921026897455488
LN143547,ANON_0C9A3EEE05,Low,48,0.5143056888728583
LN143795,ANON_AF8177B177,Default,102,0.9192331931093587
LN143932,ANON_5CCBA977FC,Low,1,0.0028890378348394
LN144066,ANON_A8FA14C2D8,Low,1,0.0028890378348394
LN144177,ANON_1198C25D03,Low,68,0.5952339009814149
LN144181,ANON_1908A2BECC,Low,35,0.40111029526666103
LN144271,ANON_7B0D6DD7DA,Default,41,0.9346201976509908
LN144304,ANON_8AA4A2A10E,Low,3,0.011273906495891599
LN145172,ANON_689F73D37F,Low,3,0.011273906495891599
LN145327,ANON_99CCC0CFBC,Low,1,0.0028890378348394
LN145742,ANON_07CD0BB779,Low,1,0.0028890378348394
LN145927,ANON_24FED5586F,Low,1,0.0028890378348394
LN146254,ANON_4F25FC60A6,Low,3,0.011273906495891599
LN146309,ANON_BDF89B820C,Default,59,0.919902908883538
LN146663,ANON_ED0312347D,Default,3,0.9921026897455488
LN146902,ANON_D3194D3E8E,Default,3,0.9921026897455488
LN147022,ANON_352FF9DC59,Low,49,0.5218323346133623
LN147079,ANON_B542B2D9BF,Low,2,0.006286475436421475
LN147189,ANON_97566C369A,Low,38,0.42995514089392567
LN147304,ANON_97D7580E36,Low,3,0.011273906495891599
LN147479,ANON_6C45E6A3D1,Default,37,0.9386924566090227
LN147640,ANON_0983545237,Low,39,0.43918511568806184
LN147644,ANON_ED300B5CDF,Low,22,0.25391277625406367
LN147796,ANON_6A6AFD1CE5,Low,12,0.11608902902343224
LN147919,ANON_CB92D308D2,Low,32,0.3704524264635173
LN147984,ANON_F1043AE9A9,Default,9,0.9790405121309872
LN148408,ANON_88C81CFB5F,Low,17,0.1870458813973239
LN148751,ANON_0C10876579,Default,1,0.9972478549457664
LN149866,ANON_4B4FE4DE37,Low,2,0.006286475436421475
LN150279,ANON_C9A2E0D27B,Low,12,0.11608902902343224
LN150914,ANON_29C18E1DA2,Low,39,0.43918511568806184
LN151001,ANON_F79BCCE079,Default,1,0.9972478549457664
LN151073,ANON_830E6D1501,Low,47,0.5066238346242291
LN151305,ANON_A751846671,Low,2,0.006286475436421475
LN151492,ANON_736628453D,Default,2,0.9946150174416826
LN151685,ANON_360FD24E2E,Low,17,0.1870458813973239
LN151864,ANON_EC0350F6B2,Low,1,0.0028890378348394
LN151952,ANON_5EA3612080,Low,38,0.42995514089392567
LN152221,ANON_7E410D973E,Low,42,0.46577249147634125
LN152270,ANON_C4AFB373B6,Low,3,0.011273906495891599
LN152491,ANON_6EB9761AA3,Default,3,0.9921026897455488
LN152744,ANON_321CA95339,Low,55,0.5639038291832629
LN152855,ANON_5952097E8A,Low,1,0.0028890378348394
LN153097,ANON_330EFCE9DE,Default,3,0.9921026897455488
LN153285,ANON_AA094CB795,Default,2,0.9946150174416826
LN154262,ANON_6732E4111C,Low,1,0.0028890378348394
LN155190,ANON_F4AA833681,Default,28,0.9491686206646659
LN155492,ANON_3A19AA8A4C,Low,2,0.006286475436421475
LN155627,ANON_617FAD7E0F,Low,3,0.011273906495891599
LN155778,ANON_EEF135641E,Default,2,0.9946150174416826
LN156010,ANON_08B87C041D,Low,1,0.0028890378348394
LN156112,ANON_9EFA78C4AF,Default,1,0.9972478549457664
LN156199,ANON_3B9A264BAA,Low,3,0.011273906495891599
LN156371,ANON_7DE64518F4,Low,54,0.5572448366299143
LN156406,ANON_BAD9FD2965,Low,11,0.10186928211501414
LN156413,ANON_359CA26784,Default,1,0.9972478549457664
LN156983,ANON_B8C8EB2D81,Low,29,0.3378776778620316
LN157000,ANON_1066C88900,Low,53,0.5504485073512786
LN157159,ANON_EA3F75CFAF,Low,22,0.25391277625406367
LN157303,ANON_948F4B7F53,Low,3,0.011273906495891599
LN157425,ANON_41D0DDD499,Low,3,0.011273906495891599
LN157602,ANON_0AADA103E2,Low,1,0.0028890378348394
LN157607,ANON_55DC433DFA,Low,3,0.011273906495891599
LN157653,ANON_666EF141C0,Default,2,0.9946150174416826
LN157851,ANON_A29B2DBEE4,Low,57,0.5768208442155516
LN158077,ANON_BC92B68E55,Default,1,0.9972478549457664
LN158634,ANON_D0E275F991,Default,2,0.9946150174416826
LN159104,ANON_1FE77B9769,Default,3,0.9921026897455488
LN159861,ANON_F247DE7A10,Low,40,0.4482288819192077
LN159907,ANON_DFDA0D87E4,Low,10,0.0878451509882079
LN160334,ANON_42D141F5FD,Medium,3,0.061530112323623994
LN160563,ANON_AE88DFCC91,Default,39,0.9366147499032963
LN160860,ANON_DC893B97DF,Low,29,0.3378776778620316
LN161678,ANON_61DBC141EA,Low,1,0.0028890378348394
LN161777,ANON_074E80D7CB,Default,3,0.9921026897455488
LN161823,ANON_E5D6BE4C37,Low,56,0.5704282589702666
LN161847,ANON_9BD972F7C2,Default,3,0.9921026897455488
LN161952,ANON_7F2D9B9B93,Default,1,0.9972478549457664
LN162039,ANON_B83B797790,Low,42,0.46577249147634125
LN162200,ANON_D40697BBE4,Default,2,0.9946150174416826
LN162883,ANON_C17C7D5F48,Default,59,0.919902908883538
LN163006,ANON_C1854544E7,Low,161,0.5952339009814149
LN163194,ANON_B44C20C2C3,Low,1,0.0028890378348394
LN163360,ANON_EE3716B05B,Default,2,0.9946150174416826
LN163365,ANON_F228DFB877,Low,52,0.5435120106040596
LN163406,ANON_36C63BE024,Low,52,0.5435120106040596
LN163407,ANON_B2CD07D1B0,Default,3,0.9921026897455488
LN163559,ANON_2C6C69869B,Low,58,0.5830842484608539
LN163743,ANON_9111167E09,Low,60,0.5952339009814149
LN164000,ANON_376FBE81FA,Low,54,0.5572448366299143
LN164167,ANON_026D2F5CC7,Low,52,0.5435120106040596
LN164237,ANON_91DB1E4E4D,Low,1,0.0028890378348394
LN164458,ANON_C7D7A28723,Low,21,0.24098261875278704
LN164485,ANON_59560C3391,Low,60,0.5952339009814149
LN164574,ANON_401CA6CD6D,Default,7,0.9830782578096491
LN164795,ANON_A440A6996F,Low,3,0.011273906495891599
LN165132,ANON_4F25DC2232,Low,54,0.5572448366299143
LN166200,ANON_E83A6B90F7,Default,24,0.9544823108599926
LN166263,ANON_29217F1D1D,Default,3,0.9921026897455488
LN166582,ANON_E2A0AE1D50,Low,2,0.006286475436421475
LN166712,ANON_5D024184B3,Default,29,0.9479070606754594
LN167052,ANON_F11478A4E5,Default,1,0.9972478549457664
LN167082,ANON_B24318B6D1,Medium,2,0.02639003657589597
LN167334,ANON_2AA1A83953,Default,2,0.9946150174416826
LN167373,ANON_724EFADF11,Low,21,0.24098261875278704
LN167639,ANON_F11101DC30,Default,46,0.9299760463757032
LN167721,ANON_E395C446C5,Medium,3,0.061530112323623994
LN167744,ANON_DF86437364,Low,1,0.0028890378348394
LN167755,ANON_90BC99831F,Default,174,0.9192331931093587
LN168537,ANON_5A7C7AFC4A,Low,12,0.11608902902343224
LN168873,ANON_77E894FED1,Low,13,0.13039470531307032
LN168886,ANON_5251277072,Low,53,0.5504485073512786
LN169116,ANON_08BCE4BE6D,Low,4,0.018145183579736924
LN169132,ANON_E4DB5D0F5C,High,3,0.4786189189371133
LN169269,ANON_CB9D6249D6,Low,59,0.5892210816125598
LN169294,ANON_5E761ED992,Low,1,0.0028890378348394
LN169460,ANON_6F35868AA9,Low,45,0.49078166871151935
LN169547,ANON_728B1D8ACA,Low,59,0.5892210816125598
LN169611,ANON_3402F2E629,Low,12,0.11608902902343224
LN169689,ANON_706EF67D68,Low,1,0.0028890378348394
LN169690,ANON_FA00C77027,Low,48,0.5143056888728583
LN170039,ANON_6A40FB0F54,Default,37,0.9386924566090227
LN170176,ANON_B6E53F8E02,Default,60,0.9192331931093587
LN170518,ANON_BF549FEA93,Default,20,0.9602549607122982
LN170643,ANON_48E6C5F3C9,Default,7,0.9830782578096491
LN171042,ANON_4A26CDAED7,Low,37,0.4205352137617737
LN171341,ANON_C744829F18,Low,3,0.011273906495891599
LN171388,ANON_5CDF829CC1,Low,11,0.10186928211501414
LN171510,ANON_1C10A696BA,Low,52,0.5435120106040596
LN171699,ANON_8D9CA4F770,Low,15,0.15894284476988715
LN172008,ANON_DA213CF704,Low,35,0.40111029526666103
LN172235,ANON_975FFFEAA2,Low,31,0.35981221129506036
LN172607,ANON_C5C1F5A143,Low,3,0.011273906495891599
LN172659,ANON_E732565DE2,Low,2,0.006286475436421475
LN172872,ANON_71626ECC7D,Default,2,0.9946150174416826
LN173437,ANON_4D14B3A709,Low,1,0.0028890378348394
LN173591,ANON_30F8654BFF,Low,20,0.22782267747708296
LN174113,ANON_748A0D6876,Low,4,0.018145183579736924
LN174285,ANON_723D92868A,Low,5,0.026814805757819263
LN174299,ANON_351CC913E8,Low,1,0.0028890378348394
LN174355,ANON_DA5E07409A,Default,3,0.9921026897455488
LN174528,ANON_ED5994F30B,Low,1,0.0028890378348394
LN174687,ANON_F4EED549A0,Low,61,0.5952339009814149
LN174699,ANON_86108E6422,Default,52,0.9249940577228253
LN175257,ANON_6F8E44D2F7,Default,1,0.9972478549457664
LN175355,ANON_20159E1EF1,Low,7,0.04851900410960577
LN175386,ANON_BECC3CFEB1,Default,41,0.9346201976509908
LN175408,ANON_4550CF1813,Medium,45,0.5981809550879864
LN175548,ANON_1A066DCD1B,Low,1,0.0028890378348394
LN176222,ANON_341A46CA82,Default,1,0.9972478549457664
LN176482,ANON_90DB4E4C09,Default,12,0.9734121430924614
LN176485,ANON_BE47BBE7F4,Low,1,0.0028890378348394
LN176492,ANON_96002149DB,Low,3,0.011273906495891599
LN176517,ANON_23A1282DC2,Default,30,0.9466710949361116
LN176791,ANON_13C72D2CDF,Low,43,0.4742795392517041
LN176833,ANON_2302974053,Default,1,0.9972478549457664
LN176880,ANON_F913DAF2F1,Default,1,0.9972478549457664
LN177161,ANON_90276FF38F,Low,144,0.5952339009814149
LN177738,ANON_DBE51EF8A9,Default,3,0.9921026897455488
LN178119,ANON_B0AC4A21B4,Low,1,0.0028890378348394
LN178164,ANON_56FA5AD009,Default,3,0.9921026897455488
LN178493,ANON_E83538F79F,Low,3,0.011273906495891599
LN178513,ANON_F500A47A61,Low,1,0.0028890378348394
LN178582,ANON_F0255CA374,Default,53,0.9242214574878675
LN178607,ANON_F5CA86B007,Low,44,0.48261478282237746
LN178771,ANON_DD8D3B94B0,Low,39,0.43918511568806184
LN178890,ANON_E7CFA3DE96,Default,12,0.9734121430924614
LN179075,ANON_D38F3305BC,Low,3,0.011273906495891599
LN179112,ANON_8633AD337C,Low,60,0.5952339009814149
LN179601,ANON_23C6913D23,Low,21,0.24098261875278704
LN179789,ANON_C69FFD9F94,Low,2,0.006286475436421475
LN179796,ANON_D6FCB36092,High,1,0.2224123182207014
LN179866,ANON_B05DC626B6,Low,3,0.011273906495891599
LN180043,ANON_C8B7DDAF97,Low,39,0.43918511568806184
LN180060,ANON_63AF31E577,Low,54,0.5572448366299143
LN180109,ANON_37FE9BCEB6,Low,2,0.006286475436421475
LN180118,ANON_0C4C0FB89F,Default,12,0.9734121430924614
LN180273,ANON_034693F070,Default,3,0.9921026897455488
LN180311,ANON_583C6486A4,Low,3,0.011273906495891599
LN180356,ANON_090060AC50,Low,1,0.0028890378348394
LN180441,ANON_E5A8FD5CE4,Low,3,0.011273906495891599
LN180682,ANON_0BB174B8E3,Default,1,0.9972478549457664
LN180823,ANON_E312A8B97C,Low,1,0.0028890378348394
LN180951,ANON_91FECC1D06,Low,61,0.5952339009814149
LN180971,ANON_F95A41AB8D,Low,51,0.5364324578189503
LN181125,ANON_5A3EDBC636,Low,54,0.5572448366299143
LN181571,ANON_A4FA077623,Default,3,0.9921026897455488
LN182289,ANON_FC7B84D979,Default,1,0.9972478549457664
LN182560,ANON_8F74AA168A,Low,56,0.5704282589702666
LN182691,ANON_06AC770CA9,Low,1,0.0028890378348394
LN182697,ANON_DA7155A574,Low,2,0.006286475436421475
LN182826,ANON_2B0C4D038A,Low,3,0.011273906495891599
LN182837,ANON_B4CDE6E5B7,Low,2,0.006286475436421475
LN183746,ANON_F8CEEDD7F3,Low,1,0.0028890378348394
LN183859,ANON_84A5FC71B5,Default,12,0.9734121430924614
LN183999,ANON_9486E80982,Low,41,0.4570901297023434
LN184236,ANON_734CD9EEB3,Low,50,0.5292069015765977
LN184274,ANON_56DCC7CB8D,Low,15,0.15894284476988715
LN184291,ANON_88BAA9EF9C,Medium,23,0.43355558064317223
LN184511,ANON_DC66F91C81,High,2,0.3736214703754679
LN184531,ANON_C60EF2406B,Low,60,0.5952339009814149
LN184641,ANON_5F176C8787,Low,3,0.011273906495891599
LN184817,ANON_DEDF870CBF,Default,2,0.9946150174416826
LN185006,ANON_50424DCE24,Low,56,0.5704282589702666
LN185865,ANON_6EC2B3B4D7,Low,1,0.0028890378348394
LN185929,ANON_DCA6F8C25A,Low,30,0.34895518610460524
LN186024,ANON_7982FF393E,Low,1,0.0028890378348394
LN186086,ANON_513C8135CA,Default,47,0.9291027653031368
LN186935,ANON_05E66D60DC,Default,37,0.9386924566090227
LN187046,ANON_43A7C07B05,Default,1,0.9972478549457664
LN187365,ANON_9CC731623D,Low,1,0.0028890378348394
LN187470,ANON_967F340130,Low,56,0.5704282589702666
LN187649,ANON_B0969D0219,Default,1,0.9972478549457664
LN187745,ANON_59297D1584,Default,10,0.9771125218894857
LN187972,ANON_600F9E674C,Default,3,0.9921026897455488
LN188192,ANON_81C39A9BBD,Low,8,0.060976239300138846
LN188343,ANON_D54B37E3EA,Low,10,0.0878451509882079
LN188464,ANON_1463870227,Low,3,0.011273906495891599
LN188674,ANON_48950F898F,Low,11,0.10186928211501414
LN189353,ANON_18E7A9E501,High,14,0.762613310255289
LN189755,ANON_6E0BD1A984,Low,3,0.011273906495891599
LN189878,ANON_C7B4BD173F,Low,1,0.0028890378348394
LN189960,ANON_62DD00E369,Low,46,0.4987835796745933
LN190026,ANON_04E6755C7E,Low,1,0.0028890378348394
LN190746,ANON_47625D9AF6,Low,1,0.0028890378348394
LN190798,ANON_EACA6F5F64,Low,1,0.0028890378348394
LN190886,ANON_4DD57E1BD4,Medium,60,0.6743060110577099
LN190990,ANON_D1912CF7AA,Low,1,0.0028890378348394
LN190995,ANON_F5D0E9AE13,Low,59,0.5892210816125598
LN191722,ANON_EA2F8BBEA2,Low,36,0.410921542526733
LN191729,ANON_212B2C5A8A,Low,1,0.0028890378348394
LN191853,ANON_3049ACCE27,Low,54,0.5572448366299143
LN191892,ANON_4D088098F1,Low,39,0.43918511568806184
LN192178,ANON_5B9096653F,Low,3,0.011273906495891599
LN192485,ANON_A686C52845,Default,1,0.9972478549457664
LN192525,ANON_DF7F493B41,Low,1,0.0028890378348394
